Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2020-10-02 03:00 PM,2020,10,02,15,31.8,92,Moderate,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 04:00 PM,2020,10,02,16,28.4,85,Moderate,25.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 05:00 PM,2020,10,02,17,30.2,89,Moderate,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 06:00 PM,2020,10,02,18,31.1,91,Moderate,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 07:00 PM,2020,10,02,19,28.5,85,Moderate,26.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 08:00 PM,2020,10,02,20,32.2,93,Moderate,36.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 09:00 PM,2020,10,02,21,30.3,89,Moderate,28.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 10:00 PM,2020,10,02,22,31.2,91,Moderate,33.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 11:00 PM,2020,10,02,23,35.1,99,Moderate,41.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 12:00 AM,2020,10,03,00,34.2,97,Moderate,33.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 01:00 AM,2020,10,03,01,34.9,99,Moderate,36.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 02:00 AM,2020,10,03,02,33.4,96,Moderate,31.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 03:00 AM,2020,10,03,03,37.4,106,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 04:00 AM,2020,10,03,04,67.5,157,Unhealthy,97.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 05:00 AM,2020,10,03,05,59.2,153,Unhealthy,51.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 06:00 AM,2020,10,03,06,66.6,157,Unhealthy,74.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 07:00 AM,2020,10,03,07,62.3,155,Unhealthy,58.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 08:00 AM,2020,10,03,08,65.1,156,Unhealthy,68.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 09:00 AM,2020,10,03,09,53.5,145,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 10:00 AM,2020,10,03,10,39.7,111,Unhealthy for Sensitive Groups,26.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 11:00 AM,2020,10,03,11,29.3,87,Moderate,19.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 12:00 PM,2020,10,03,12,27.6,84,Moderate,26.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 01:00 PM,2020,10,03,13,31.3,91,Moderate,35.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 02:00 PM,2020,10,03,14,39.6,111,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 03:00 PM,2020,10,03,15,40.8,114,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 04:00 PM,2020,10,03,16,36.4,103,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 05:00 PM,2020,10,03,17,39.2,110,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 06:00 PM,2020,10,03,18,47.6,131,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 07:00 PM,2020,10,03,19,50.7,138,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 08:00 PM,2020,10,03,20,56.8,152,Unhealthy,63.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 09:00 PM,2020,10,03,21,65.9,156,Unhealthy,75.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 10:00 PM,2020,10,03,22,55.9,151,Unhealthy,46.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-03 11:00 PM,2020,10,03,23,49.9,136,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 12:00 AM,2020,10,04,00,47.4,130,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 01:00 AM,2020,10,04,01,45.2,125,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 02:00 AM,2020,10,04,02,36.1,102,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 03:00 AM,2020,10,04,03,33.0,95,Moderate,30.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 04:00 AM,2020,10,04,04,32.5,94,Moderate,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 05:00 AM,2020,10,04,05,33.7,96,Moderate,35.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 06:00 AM,2020,10,04,06,30.3,89,Moderate,27.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 07:00 AM,2020,10,04,07,98.2,173,Unhealthy,166.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 08:00 AM,2020,10,04,08,86.1,167,Unhealthy,74.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 09:00 AM,2020,10,04,09,67.0,157,Unhealthy,48.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 10:00 AM,2020,10,04,10,52.5,143,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 11:00 AM,2020,10,04,11,38.2,108,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 12:00 PM,2020,10,04,12,40.1,112,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 01:00 PM,2020,10,04,13,40.0,112,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 02:00 PM,2020,10,04,14,41.0,115,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 03:00 PM,2020,10,04,15,42.5,118,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 04:00 PM,2020,10,04,16,48.2,132,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 05:00 PM,2020,10,04,17,52.6,143,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 06:00 PM,2020,10,04,18,47.3,130,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 07:00 PM,2020,10,04,19,39.6,111,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 08:00 PM,2020,10,04,20,38.8,109,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 09:00 PM,2020,10,04,21,35.4,100,Moderate,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 10:00 PM,2020,10,04,22,35.7,101,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-04 11:00 PM,2020,10,04,23,41.7,116,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-05 12:00 AM,2020,10,05,00,33.6,96,Moderate,25.0,UG/M3,1 Hr,Valid
